fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,ground_truth
2035,2149,2310,2914,2513,0
2053,2183,2277,2919,2406,0
2047,2191,2322,2890,2733,0
2067,2131,2326,2970,2413,0
2015,2167,2292,2895,2928,0
2065,2189,2327,3049,2176,0
2099,2190,2303,2924,2025,0
2087,2169,2320,3101,1975,0
2086,2187,2373,3035,1782,0
2064,2215,2304,2977,1741,0
2061,2176,2338,2945,1776,0
2096,2243,2304,2967,1729,0
2077,2234,2422,2960,1730,0
2117,2203,2399,2955,2003,0
2082,2255,2433,2928,2022,0
2112,2229,2493,2991,2014,0
2112,2269,2509,2193,2003,0
2149,2273,2501,2077,2011,0
2096,2224,2512,2081,2078,0
2134,2255,2582,1999,2071,0
2098,2258,2581,2067,2077,0
2144,2215,2628,2046,2070,0
2195,2252,2645,2144,2112,0
2141,2262,2787,2192,2000,0
2150,2265,2770,2141,1999,0
2115,2285,2737,2100,2166,0
2129,2259,2784,2113,2160,0
2128,2293,2769,2163,1504,0
2153,2278,2767,2159,1519,0
2245,2331,2768,2011,1534,0
2187,2302,2739,2035,1517,0
2173,2272,2746,1959,1552,0
2224,2358,2800,2015,1549,0
2173,2299,2773,2172,1535,0
2221,2332,2845,2246,1563,0
2179,2279,2820,2325,1585,0
2213,2304,2802,2416,1544,0
2161,2349,2832,2374,1595,0
2193,2278,2846,2823,1570,0
2172,2320,2851,2735,1630,0
1751,1759,1997,2188,2006,10
1713,1746,1936,2172,1990,10
1734,1712,1934,2173,1993,10
1707,1691,2003,2162,1981,10
1664,1716,1994,2176,2087,10
1715,1705,2035,2160,2064,10
1678,1726,2001,2175,2067,10
1728,1710,2006,2162,2028,10
1691,1809,2019,2172,2029,10
1731,1712,1983,2155,2001,10
1687,1709,2025,2178,2033,10
1730,1726,2042,2186,2013,10
1721,1722,2033,2175,2014,10
1747,1758,2037,2191,1969,10
1671,1735,2026,2194,1983,10
1743,1707,2042,2192,1936,10
1714,1731,2027,2214,1981,10
1680,1728,1981,2191,1971,10
1687,1743,1983,2209,1967,10
1685,1750,2066,2226,2035,10
1692,1762,2015,2210,1974,10
1675,1719,1997,2160,1979,10
1777,1762,2007,2167,1968,10
1715,1728,2015,2207,1965,10
1700,1763,2007,2203,1989,10
1751,1759,2039,2192,1953,10
1699,1783,2034,2243,1955,10
1760,1740,2035,2205,1942,10
1729,1766,2003,2146,1967,10
1696,1806,2019,2213,1959,10
1792,1815,2032,2186,1954,10
1717,1878,2017,2223,1939,10
1711,1820,2047,2177,1971,10
1694,1867,2060,2147,1941,10
1715,1832,2064,2197,1911,10
1728,1853,2114,2166,1931,10
1709,1869,2155,2141,1923,10
1713,1856,2094,2149,1957,10
1751,1923,2129,2146,1941,10
1739,1854,2171,2134,1904,10
1781,1891,2121,2155,1957,10
1738,1881,2175,2153,1906,10
1777,1889,2225,2115,1889,10
1733,1870,2128,2077,1902,10
1824,1840,2157,2066,1878,10
1756,1890,2157,2107,1930,10
1891,1846,2145,2224,1847,10
1826,1851,2187,2161,1916,10
1923,1874,2143,2223,1863,10
1872,1919,2117,2165,1915,10
1888,1940,2135,2154,1859,10
1765,1889,2115,2163,1846,10
1811,1904,2113,2166,1872,10
1811,1898,2119,2186,1847,10
