fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,ground_truth
2067,2131,2326,2970,2413,0
2099,2190,2303,2924,2025,0
2141,2262,2787,2192,2000,0
2144,2215,2628,2046,2070,0
2047,2191,2322,2890,2733,0
2096,2224,2512,2081,2078,0
2129,2259,2784,2113,2160,0
2087,2169,2320,3101,1975,0
2193,2278,2846,2823,1570,0
2179,2279,2820,2325,1585,0
2149,2273,2501,2077,2011,0
2065,2189,2327,3049,2176,0
2224,2358,2800,2015,1549,0
2245,2331,2768,2011,1534,0
2213,2304,2802,2416,1544,0
2115,2285,2737,2100,2166,0
2172,2320,2851,2735,1630,0
2128,2293,2769,2163,1504,0
2077,2234,2422,2960,1730,0
2015,2167,2292,2895,2928,0
2221,2332,2845,2246,1563,0
2061,2176,2338,2945,1776,0
2082,2255,2433,2928,2022,0
2035,2149,2310,2914,2513,0
2173,2272,2746,1959,1552,0
2161,2349,2832,2374,1595,0
2096,2243,2304,2967,1729,0
2086,2187,2373,3035,1782,0
2112,2229,2493,2991,2014,0
2112,2269,2509,2193,2003,0
2153,2278,2767,2159,1519,0
2053,2183,2277,2919,2406,0
2064,2215,2304,2977,1741,0
2173,2299,2773,2172,1535,0
2098,2258,2581,2067,2077,0
2150,2265,2770,2141,1999,0
2117,2203,2399,2955,2003,0
2195,2252,2645,2144,2112,0
2187,2302,2739,2035,1517,0
2134,2255,2582,1999,2071,0
1811,1904,2113,2166,1872,0
1707,1691,2003,2162,1981,0
1872,1919,2117,2165,1915,0
1675,1719,1997,2160,1979,0
1685,1750,2066,2226,2035,0
1760,1740,2035,2205,1942,0
1735,2017,2161,2099,1796,0
1808,1897,2145,2170,1840,0
1781,1891,2121,2155,1957,0
1777,1762,2007,2167,1968,0
1696,1806,2019,2213,1959,0
1715,1728,2015,2207,1965,0
1875,1904,2130,2146,1859,0
1715,1832,2064,2197,1911,0
1691,1809,2019,2172,2029,0
1728,1710,2006,2162,2028,0
1787,1935,2193,2021,1605,0
1699,1783,2034,2243,1955,0
1781,1961,2195,2019,1726,0
1808,1903,2209,2121,1830,0
1814,1936,2207,2077,1749,0
1751,1923,2129,2146,1941,0
1700,1763,2007,2203,1989,0
1738,1881,2175,2153,1906,0
1819,1855,2181,2151,1856,0
1664,1716,1994,2176,2087,0
1888,1940,2135,2154,1859,0
1709,1869,2155,2141,1923,0
1891,1846,2145,2224,1847,0
1692,1762,2015,2210,1974,0
1824,1840,2157,2066,1878,0
1811,1898,2119,2186,1847,0
1827,1980,2194,2035,1869,0
1694,1867,2060,2147,1941,0
1913,1894,2181,2178,1860,0
1739,1854,2171,2134,1904,0
1840,2001,2209,2111,1779,0
1713,1746,1936,2172,1990,0
1923,1874,2143,2223,1863,0
1801,1953,2192,2073,1831,0
1717,1878,2017,2223,1939,0
1713,1856,2094,2149,1957,0
1730,1726,2042,2186,2013,0
1777,1889,2225,2115,1889,0
1678,1726,2001,2175,2067,0
1795,1953,2206,2141,1845,0
1765,1889,2115,2163,1846,0
1747,1949,2132,2007,1549,0
1733,1870,2128,2077,1902,0
1826,1851,2187,2161,1916,0
1711,1820,2047,2177,1971,0
1747,1758,2037,2191,1969,0
1831,1875,2165,2137,1852,0
1687,1709,2025,2178,2033,0
1887,1971,2199,2001,1860,0
1680,1728,1981,2191,1971,0
1715,1705,2035,2160,2064,0
1783,1876,2209,2133,1919,0
1687,1743,1983,2209,1967,0
1714,1731,2027,2214,1981,0
1792,1815,2032,2186,1954,0
1809,1906,2141,2183,1850,0
1744,2000,2201,2103,1847,0
1751,1759,1997,2188,2006,0
1728,1853,2114,2166,1931,0
1721,1722,2033,2175,2014,0
1777,1968,2176,2032,1655,0
1731,1712,1983,2155,2001,0
1795,1872,2203,2132,1871,0
1756,1890,2157,2107,1930,0
1729,1766,2003,2146,1967,0
1734,1712,1934,2173,1993,0
1824,1998,2276,2028,1776,0
1671,1735,2026,2194,1983,0
1751,1759,2039,2192,1953,0
1803,1879,2161,2135,1830,0
1863,1917,2155,2150,1847,0
1743,1707,2042,2192,1936,0
1840,1899,2141,2160,1927,0
1808,1991,2188,2097,1779,0
1829,1897,2195,2112,1818,0
1434,1461,1473,1427,1337,0
1441,1459,1457,1431,1392,0
1489,1442,1454,1459,1413,0
