fsr_1,fsr_2,fsr_3,fsr_4,ground_truth
95,126,116,55,0
117,119,112,51,0
118,128,93,68,0
122,116,119,73,0
137,131,118,68,0
133,112,117,69,0
125,128,128,70,0
119,128,138,77,0
125,131,134,82,0
126,129,126,85,0
129,122,128,92,0
132,122,128,64,0
128,98,95,61,0
126,112,80,80,0
128,100,78,75,0
128,95,80,67,0
114,79,71,69,0
113,95,80,64,0
123,93,83,81,0
137,94,77,80,0
137,95,71,75,0
128,96,75,87,0
130,82,89,74,0
123,112,78,74,0
114,112,50,109,0
125,115,75,112,0
112,112,70,106,0
87,109,109,100,0
96,161,94,106,0
98,112,87,104,0
102,95,99,103,0
96,112,98,156,0
102,107,119,102,0
94,99,87,112,0
118,94,94,85,0
91,80,105,109,0
86,105,91,105,0
93,112,128,101,0
106,112,96,97,0
145,95,115,107,0
108,101,93,95,0
95,114,99,101,0
90,103,112,98,0
141,108,86,97,0
107,95,106,110,0
115,97,103,112,0
112,106,101,86,0
106,93,113,99,0
107,102,103,84,0
94,90,107,102,0
106,103,110,83,0
98,101,112,113,0
93,107,115,112,0
98,106,99,96,0
101,113,128,112,1
118,128,112,112,1
122,113,130,111,1
134,141,126,128,1
127,114,119,118,1
129,123,124,129,1
117,128,118,115,1
118,126,133,128,1
120,125,128,119,1
128,133,111,128,1
110,123,125,102,1
112,128,117,128,1
128,115,130,144,1
112,114,118,128,1
108,117,118,128,1
123,116,112,127,1
115,123,111,131,1
112,128,129,126,1
127,135,122,113,1
112,128,126,134,1
119,113,192,134,1
133,128,127,112,1
126,135,124,136,1
126,123,141,110,1
110,112,99,118,1
128,118,118,129,1
119,118,130,128,1
125,124,139,128,1
113,116,137,135,1
122,0,119,112,1
123,127,120,122,1
122,119,128,113,1
125,128,128,112,1
102,110,112,134,1
116,125,115,125,1
112,119,187,117,1
169,112,128,126,1
100,112,129,118,1
102,112,115,133,1
111,110,112,121,1
115,105,112,122,1
124,111,116,113,1
107,112,113,118,1
114,112,129,118,1
112,116,115,115,1
112,115,122,125,1
112,117,126,133,1
99,112,118,112,1
116,128,115,121,1
118,130,112,125,1
107,115,113,105,1
111,117,119,125,1
119,112,120,111,1
112,115,123,104,1
124,128,128,107,1
97,124,112,126,1
111,122,124,123,1
108,113,119,114,1
102,122,128,101,1
