fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,ground_truth
1072,1334,1034,1381,1677,0
1066,1355,1018,1386,1741,0
1079,1289,976,1438,1703,0
1119,1319,945,1477,1737,0
1190,1372,911,1521,1731,0
1151,1353,877,1533,1706,0
1189,1313,858,1557,1754,0
1171,1294,832,1588,1728,0
1201,1238,806,1604,1731,0
1195,1280,816,1616,1702,0
1245,1238,830,1616,1689,0
1757,1233,865,1647,1683,0
1307,1215,929,1645,1695,0
1328,1211,976,1679,2327,0
1319,1222,1063,1679,2303,0
1327,1200,1112,1706,2320,0
1317,1171,1151,1709,2373,0
1347,1081,1263,1717,2304,0
662,563,726,886,939,0
634,561,687,875,986,0
610,550,677,848,948,0
634,532,624,825,739,0
598,535,569,817,912,0
576,528,611,827,860,0
490,547,629,799,872,0
485,576,599,769,883,0
522,618,571,731,839,0
1437,677,546,743,770,0
769,697,535,704,763,0
673,746,553,674,715,0
703,747,515,649,703,0
663,759,506,640,688,0
677,752,510,623,622,0
675,798,522,614,653,0
687,887,543,576,640,0
713,870,567,559,576,0
718,819,582,555,523,0
718,787,634,555,518,0
750,816,643,562,496,0
731,834,726,592,487,0
741,854,727,624,534,0
752,857,847,679,537,0
534,848,779,727,560,0
560,831,796,767,586,0
581,834,873,773,640,0
765,868,827,828,707,0
746,835,845,880,733,0
784,865,911,895,803,0
806,867,879,883,824,0
827,857,929,927,880,0
826,869,926,1215,918,0
850,846,871,958,897,0
871,912,925,929,915,0
847,944,912,948,889,0
845,983,939,946,842,0
818,981,905,944,879,0
811,983,905,943,908,0
833,867,911,939,911,0
752,915,895,932,849,0
723,878,893,931,880,0
738,881,928,935,929,0
701,865,919,925,944,0
683,827,921,931,912,0
698,889,943,914,909,0
715,939,974,885,886,0
688,849,947,928,871,0
656,843,928,948,913,0
638,832,905,1054,882,0
621,811,944,981,912,0
581,767,912,953,880,0
560,763,927,974,896,0
551,726,931,957,894,0
878,843,818,826,811,0
866,848,796,781,771,0
912,701,939,1917,943,0
885,742,945,1919,913,0
863,749,950,1933,902,0
829,747,946,1932,880,0
801,774,926,1925,870,0
784,787,929,1927,842,0
769,817,1275,1955,811,0
759,845,1927,1968,783,0
778,862,1933,1984,755,0
752,883,1929,2000,754,0
591,896,1211,1770,748,0
557,899,1951,1012,727,0
559,906,1933,967,723,0
560,919,1874,1963,717,0
571,918,1887,1947,522,0
656,935,1875,961,501,0
693,561,274,496,251,1
691,571,285,527,625,1
682,574,277,525,661,1
656,560,269,560,686,1
673,576,262,583,661,1
667,585,250,625,674,1
647,593,253,624,687,1
602,607,240,687,675,1
626,624,239,672,662,1
592,611,229,690,665,1
597,642,227,658,654,1
594,632,210,675,626,1
624,631,197,670,643,1
593,624,211,659,610,1
602,624,210,638,609,1
613,624,213,645,607,1
599,646,240,628,595,1
592,635,240,629,599,1
596,597,256,624,611,1
604,588,281,592,602,1
624,566,656,605,596,1
629,576,683,576,598,1
631,555,671,603,594,1
626,557,681,620,598,1
639,560,658,586,620,1
611,541,666,593,634,1
614,506,640,597,637,1
605,507,619,587,647,1
613,502,624,611,635,1
593,487,626,592,668,1
576,480,597,631,671,1
539,493,592,603,669,1
518,490,585,609,658,1
496,498,580,637,667,1
466,518,586,633,692,1
485,531,578,626,688,1
448,547,581,609,662,1
464,576,593,643,669,1
448,590,595,650,625,1
449,606,592,678,622,1
384,619,579,666,621,1
382,622,592,694,606,1
410,625,610,663,610,1
450,625,618,656,605,1
465,641,621,638,583,1
496,625,624,625,547,1
550,594,644,597,533,1
543,591,651,585,526,1
560,598,649,578,785,1
614,567,679,551,247,1
592,581,650,539,223,1
591,560,655,531,219,1
594,582,645,496,189,1
596,574,641,510,523,1
629,560,624,526,545,1
607,539,594,528,443,1
637,578,566,532,528,1
591,577,580,528,509,1
576,601,544,528,522,1
546,640,527,535,535,1
549,625,496,1011,530,1
556,639,500,401,522,1
567,610,489,229,539,1
543,621,474,221,538,1
580,304,481,250,538,1
994,779,486,272,81,1
983,769,485,272,76,1
975,751,485,247,89,1
976,787,482,237,66,1
941,790,457,240,252,1
933,778,434,223,222,1
922,816,435,218,58,1
907,817,423,216,200,1
899,822,432,579,169,1
895,831,449,602,167,1
894,828,446,388,121,1
894,832,439,567,10,1
887,823,452,535,12,1
875,817,464,511,16,1
880,784,446,249,0,1
870,815,1074,175,752,1
878,794,589,175,510,1
877,788,466,159,272,1
850,782,429,144,86,1
852,759,423,185,752,1
