fsr_1,fsr_2,fsr_3,fsr_4,ground_truth
317,291,304,293,0
316,306,294,293,0
308,311,303,304,0
304,295,298,299,0
309,305,304,299,0
320,320,307,289,0
306,313,292,303,0
306,302,297,297,0
305,303,310,302,0
320,301,304,311,0
313,315,311,293,0
322,304,285,304,0
315,317,289,288,0
304,315,304,291,0
297,320,303,309,0
303,307,298,286,0
306,308,303,299,0
309,299,304,297,0
306,309,297,293,0
304,316,301,289,0
301,303,287,302,0
319,304,305,300,0
311,313,297,288,0
318,299,287,303,0
288,306,297,295,0
267,274,272,261,0
272,259,267,270,0
271,261,268,269,0
273,272,269,261,0
265,268,272,272,0
269,269,269,256,0
257,261,274,272,0
265,272,268,259,0
246,256,271,261,0
267,252,272,259,0
271,258,258,271,0
252,273,272,272,0
251,272,261,272,0
269,267,269,265,0
265,267,267,262,0
270,256,262,263,0
271,272,256,271,0
245,268,262,268,0
261,256,261,272,0
256,259,257,250,0
262,267,261,262,0
272,272,266,263,0
269,265,263,266,0
257,256,272,263,0
270,270,262,265,0
272,256,277,269,0
271,263,265,274,0
285,277,273,258,0
259,266,269,276,0
272,271,261,267,0
274,272,272,272,0
272,269,276,261,0
272,263,277,275,0
273,272,275,272,0
272,271,278,263,0
256,269,272,272,0
272,273,272,266,0
273,272,270,270,0
274,275,263,268,0
257,272,270,272,0
272,273,263,272,0
267,271,272,264,0
261,265,276,267,0
262,281,273,266,0
272,267,275,271,0
272,269,272,275,0
263,272,270,262,0
266,268,274,273,0
273,265,272,266,0
273,275,276,261,0
246,272,272,263,1
272,266,263,272,1
263,261,262,272,1
274,263,269,267,1
259,270,272,265,1
269,267,256,267,1
261,269,258,267,1
262,274,259,260,1
272,261,272,272,1
256,259,260,267,1
262,262,255,272,1
265,272,270,258,1
261,272,273,272,1
270,262,263,272,1
256,272,271,265,1
262,261,270,271,1
258,253,264,271,1
258,258,260,267,1
260,270,271,262,1
259,271,260,265,1
267,272,263,263,1
264,263,263,261,1
251,263,263,270,1
273,269,259,267,1
261,262,270,268,1
272,258,262,257,1
257,253,284,266,1
269,267,272,257,1
256,254,259,259,1
271,251,272,255,1
263,261,272,268,1
262,257,272,252,1
268,269,251,255,1
247,253,267,257,1
258,270,258,259,1
266,262,260,251,1
269,272,261,259,1
267,263,261,257,1
263,266,270,256,1
259,262,263,266,1
253,267,267,258,1
256,257,252,253,1
269,272,271,270,1
258,266,261,259,1
261,249,259,256,1
271,263,262,258,1
260,263,257,259,1
264,270,266,257,1
261,269,272,269,1
267,256,246,262,1
262,265,256,256,1
254,262,256,265,1
267,259,262,265,1
261,255,259,261,1
256,254,256,260,1
261,261,259,256,1
263,257,256,269,1
262,261,258,266,1
253,272,256,270,1
259,256,268,266,1
256,256,262,263,1
269,261,257,254,1
266,265,270,267,1
261,266,272,256,1
261,257,265,247,1
266,261,266,253,1
255,261,255,263,1
258,259,262,254,1
260,266,261,258,1
256,256,254,257,1
263,258,256,258,1
251,260,262,269,1
256,261,263,269,1
257,259,262,262,1
255,268,263,263,1
261,259,262,279,1
268,269,261,271,1
261,261,264,267,1
267,271,270,266,1
247,275,259,271,1
258,261,269,271,1
265,271,262,271,1
270,271,257,272,1
258,272,256,266,1
262,260,259,267,1
266,272,258,271,1
266,274,261,273,1
270,256,265,266,1
256,265,270,272,1
261,265,266,273,1
257,260,267,266,1
271,270,256,262,1
262,262,259,271,1
257,267,269,270,1
273,265,272,272,1
270,267,263,269,1
265,263,261,273,1
271,259,269,256,1
269,261,261,270,1
272,261,265,271,1
269,265,273,262,1
