fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,ground_truth
95,130,95,95,77,0
117,123,93,80,82,0
118,114,94,78,85,0
122,125,95,80,92,0
137,112,96,71,64,0
133,126,82,80,61,0
125,119,112,83,80,0
119,128,112,77,75,0
125,116,115,71,67,0
126,131,112,75,69,0
129,112,116,89,64,0
132,128,112,78,81,0
128,128,93,50,80,0
126,131,119,75,75,0
128,129,118,70,87,0
128,122,117,55,74,0
114,122,128,51,74,0
113,98,138,68,109,0
123,112,134,73,112,0
137,100,126,68,106,0
137,95,128,69,111,0
128,79,128,70,93,0
87,107,103,91,103,0
96,94,108,128,156,0
98,106,95,96,102,0
102,98,97,115,112,0
96,93,106,93,85,0
102,98,93,99,109,0
94,109,102,112,105,0
118,161,90,86,101,0
91,112,103,106,97,0
86,95,101,103,107,0
93,112,107,101,95,0
106,107,106,113,101,0
145,99,109,103,98,0
108,94,94,107,97,0
95,80,87,110,110,0
90,105,99,112,112,0
141,112,98,115,86,0
107,112,119,99,99,0
115,95,87,100,84,0
112,101,94,106,102,0
106,114,105,104,83,1
101,119,128,118,115,1
118,125,113,118,128,1
122,113,128,112,119,1
134,122,135,111,128,1
127,123,123,129,102,1
129,122,112,122,128,1
117,125,118,126,144,1
118,113,118,192,128,1
120,128,124,127,128,1
128,113,116,124,127,1
110,141,127,141,131,1
112,114,119,99,126,1
128,123,128,118,113,1
112,128,128,130,134,1
108,126,112,139,134,1
123,125,130,137,112,1
115,133,126,119,136,1
112,123,119,120,110,1
127,128,124,128,118,1
112,115,118,128,129,1
119,114,133,112,128,1
133,117,128,112,128,1
126,116,111,111,135,1
126,123,125,128,112,1
110,128,117,118,122,1
128,135,130,129,113,1
102,112,112,116,117,1
116,124,128,113,126,1
112,97,130,129,118,1
169,111,115,115,133,1
100,108,117,122,121,1
102,102,112,126,122,1
111,110,115,118,113,1
115,125,128,115,118,1
124,119,124,112,118,1
107,112,122,113,115,1
114,112,113,119,125,1
112,112,122,120,133,1
112,110,112,123,112,1
112,105,115,128,121,1
99,111,187,112,125,1
116,112,128,124,105,1
118,112,129,119,125,1
107,116,115,128,111,1
111,115,112,134,104,1
119,117,112,125,107,1
80,128,137,115,115,1
114,133,125,109,108,1
128,133,114,83,113,1
203,129,128,107,108,1
128,128,117,106,107,1
111,121,119,86,115,1
111,126,130,112,128,1
119,117,121,108,124,1
135,112,135,109,125,1
119,125,106,122,116,1
109,129,115,181,118,1
130,124,118,114,110,1
127,135,114,116,102,1
129,107,114,125,121,1
120,126,111,129,112,1
127,128,110,108,123,1
134,112,97,113,130,1
126,128,98,112,110,1
121,128,101,101,118,1
135,131,103,109,135,1
109,131,80,91,87,1
137,137,76,64,78,1
123,122,82,65,68,1
73,135,67,80,87,1
86,135,80,133,86,1
94,176,80,75,71,1
109,116,70,87,82,1
101,118,80,75,64,1
112,115,74,90,68,1
118,69,75,80,69,1
107,78,79,81,74,1
88,80,80,77,115,1
110,75,66,70,86,1
128,80,87,80,93,1
119,78,70,76,80,1
123,85,75,83,69,1
115,75,77,78,70,1
145,75,77,69,74,1
131,85,77,86,76,1
112,69,69,64,79,1
107,110,121,112,122,1
118,112,134,114,124,1
117,128,144,112,128,1
112,122,130,112,109,1
115,113,117,131,113,1
108,125,112,117,138,1
129,126,121,130,106,1
126,191,94,119,101,1
123,122,112,128,121,1
112,122,106,111,128,1
119,114,113,128,139,1
125,126,112,121,117,1
95,123,117,123,112,1
112,125,117,176,121,1
105,122,112,123,117,1
112,128,113,130,126,1
110,128,135,142,115,1
122,121,122,125,123,1
116,128,131,128,133,1
128,128,112,127,137,1
118,128,129,119,123,1
109,130,129,126,113,1
115,130,128,126,111,1
127,120,133,124,112,1
102,128,130,121,126,1
112,113,122,128,126,1
112,135,125,127,137,1
128,134,113,88,124,1
144,137,128,124,127,1
126,142,117,134,130,1
126,93,115,130,122,1
128,128,137,135,145,1
118,128,123,80,135,1
125,128,145,119,128,1
116,134,129,133,127,1
117,125,138,125,132,1
84,126,121,132,130,1
122,127,144,127,140,1
130,140,127,128,118,1
128,128,142,144,139,1
113,128,135,117,130,1
127,133,133,119,126,1
129,126,141,137,134,1
124,128,133,133,121,1
80,86,86,89,81,1
105,84,80,95,83,1
53,80,83,90,81,1
80,96,61,97,64,1
90,77,77,69,85,1
89,80,80,65,80,1
80,86,101,79,69,1
82,80,105,78,86,1
86,91,93,64,80,1
96,80,97,77,85,1
100,85,90,89,85,1
102,87,87,93,83,1
110,80,80,61,80,1
91,87,89,75,94,1
80,72,81,80,101,1
80,80,80,74,83,1
78,79,92,74,97,1
81,95,82,80,108,1
83,86,81,86,80,1
80,77,97,72,94,1
