fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,ground_truth
95,130,95,95,77,0
117,123,93,80,82,0
118,114,94,78,85,0
122,125,95,80,92,0
137,112,96,71,64,0
133,126,82,80,61,0
125,119,112,83,80,0
119,128,112,77,75,0
125,116,115,71,67,0
126,131,112,75,69,0
129,112,116,89,64,0
132,128,112,78,81,0
128,128,93,50,80,0
126,131,119,75,75,0
128,129,118,70,87,0
128,122,117,55,74,0
114,122,128,51,74,0
113,98,138,68,109,0
123,112,134,73,112,0
137,100,126,68,106,0
137,95,128,69,111,0
128,79,128,70,93,0
87,107,103,91,103,20
96,94,108,128,156,20
98,106,95,96,102,20
102,98,97,115,112,20
96,93,106,93,85,20
102,98,93,99,109,20
94,109,102,112,105,20
118,161,90,86,101,20
91,112,103,106,97,20
86,95,101,103,107,20
93,112,107,101,95,20
106,107,106,113,101,20
145,99,109,103,98,20
108,94,94,107,97,20
95,80,87,110,110,20
90,105,99,112,112,20
141,112,98,115,86,20
107,112,119,99,99,20
115,95,87,100,84,20
112,101,94,106,102,20
106,114,105,104,83,20
101,119,128,118,115,30
118,125,113,118,128,30
122,113,128,112,119,30
134,122,135,111,128,30
127,123,123,129,102,30
129,122,112,122,128,30
117,125,118,126,144,30
118,113,118,192,128,30
120,128,124,127,128,30
128,113,116,124,127,30
110,141,127,141,131,30
112,114,119,99,126,30
128,123,128,118,113,30
112,128,128,130,134,30
108,126,112,139,134,30
123,125,130,137,112,30
115,133,126,119,136,30
112,123,119,120,110,30
127,128,124,128,118,30
112,115,118,128,129,30
119,114,133,112,128,30
133,117,128,112,128,30
126,116,111,111,135,30
126,123,125,128,112,30
110,128,117,118,122,30
128,135,130,129,113,30
102,112,112,116,117,60
116,124,128,113,126,60
112,97,130,129,118,60
169,111,115,115,133,60
100,108,117,122,121,60
102,102,112,126,122,60
111,110,115,118,113,60
115,125,128,115,118,60
124,119,124,112,118,60
107,112,122,113,115,60
114,112,113,119,125,60
112,112,122,120,133,60
112,110,112,123,112,60
112,105,115,128,121,60
99,111,187,112,125,60
116,112,128,124,105,60
118,112,129,119,125,60
107,116,115,128,111,60
111,115,112,134,104,60
119,117,112,125,107,60
80,128,137,115,115,90
114,133,125,109,108,90
128,133,114,83,113,90
203,129,128,107,108,90
128,128,117,106,107,90
111,121,119,86,115,90
111,126,130,112,128,90
119,117,121,108,124,90
135,112,135,109,125,90
119,125,106,122,116,90
109,129,115,181,118,90
130,124,118,114,110,90
127,135,114,116,102,90
129,107,114,125,121,90
120,126,111,129,112,90
127,128,110,108,123,90
134,112,97,113,130,90
126,128,98,112,110,90
121,128,101,101,118,90
135,131,103,109,135,90
109,131,80,91,87,120
137,137,76,64,78,120
123,122,82,65,68,120
73,135,67,80,87,120
86,135,80,133,86,120
94,176,80,75,71,120
109,116,70,87,82,120
101,118,80,75,64,120
112,115,74,90,68,120
118,69,75,80,69,120
107,78,79,81,74,120
88,80,80,77,115,120
110,75,66,70,86,120
128,80,87,80,93,120
119,78,70,76,80,120
123,85,75,83,69,120
115,75,77,78,70,120
145,75,77,69,74,120
131,85,77,86,76,120
112,69,69,64,79,120
107,110,121,112,122,150
118,112,134,114,124,150
117,128,144,112,128,150
112,122,130,112,109,150
115,113,117,131,113,150
108,125,112,117,138,150
129,126,121,130,106,150
126,191,94,119,101,150
123,122,112,128,121,150
112,122,106,111,128,150
119,114,113,128,139,150
125,126,112,121,117,150
95,123,117,123,112,150
112,125,117,176,121,150
105,122,112,123,117,150
112,128,113,130,126,150
110,128,135,142,115,150
122,121,122,125,123,150
116,128,131,128,133,150
128,128,112,127,137,150
118,128,129,119,123,150
109,130,129,126,113,150
115,130,128,126,111,150
127,120,133,124,112,150
102,128,130,121,126,180
112,113,122,128,126,180
112,135,125,127,137,180
128,134,113,88,124,180
144,137,128,124,127,180
126,142,117,134,130,180
126,93,115,130,122,180
128,128,137,135,145,180
118,128,123,80,135,180
125,128,145,119,128,180
116,134,129,133,127,180
117,125,138,125,132,180
84,126,121,132,130,180
122,127,144,127,140,180
130,140,127,128,118,180
128,128,142,144,139,180
113,128,135,117,130,180
127,133,133,119,126,180
129,126,141,137,134,180
124,128,133,133,121,180
80,86,86,89,81,210
105,84,80,95,83,210
53,80,83,90,81,210
80,96,61,97,64,210
90,77,77,69,85,210
89,80,80,65,80,210
80,86,101,79,69,210
82,80,105,78,86,210
86,91,93,64,80,210
96,80,97,77,85,210
100,85,90,89,85,210
102,87,87,93,83,210
110,80,80,61,80,210
91,87,89,75,94,210
80,72,81,80,101,210
80,80,80,74,83,210
78,79,92,74,97,210
81,95,82,80,108,210
83,86,81,86,80,210
80,77,97,72,94,210
